Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
BUR,DEN,United Air Lines Inc.,515,0,90,0,0,605
BUR,DFW,American Airlines Inc.,2371,240,651,0,3631,6893
BUR,IAD,JetBlue Airways,0,0,0,0,25,25
BUR,JFK,JetBlue Airways,893,0,2231,0,2110,5234
BUR,LAS,JetBlue Airways,0,0,53,0,30,83
BUR,LAS,Southwest Airlines Co.,2278,779,3657,0,10330,17044
BUR,OAK,Southwest Airlines Co.,2149,299,1308,13,14870,18639
BUR,PDX,Alaska Airlines Inc.,364,0,2,0,45,411
BUR,PHX,Southwest Airlines Co.,1587,235,1139,14,7043,10018
BUR,PHX,US Airways Inc.,570,15,143,22,743,1493
BUR,SEA,Alaska Airlines Inc.,1567,61,507,0,2249,4384
BUR,SFO,Skywest Airlines Inc.,1449,33,7601,0,4703,13786
BUR,SFO,United Air Lines Inc.,751,0,6534,0,1351,8636
BUR,SJC,Southwest Airlines Co.,1508,269,778,4,9674,12233
BUR,SLC,JetBlue Airways,255,0,96,0,569,920
BUR,SLC,Skywest Airlines Inc.,2641,150,151,15,2571,5528
BUR,SMF,Southwest Airlines Co.,1583,188,595,0,10756,13122
BUR,TUS,Skywest Airlines Inc.,0,0,0,0,39,39
BWI,ABQ,Southwest Airlines Co.,880,345,547,0,600,2372
BWI,ALB,Southwest Airlines Co.,3331,1066,786,44,6209,11436
BWI,ATL,Delta Air Lines Inc.,3345,21,3151,0,4181,10698
BWI,AUS,Southwest Airlines Co.,853,235,380,6,1970,3444
BWI,BDL,Southwest Airlines Co.,4025,825,1752,151,8613,15366
BWI,BHM,Southwest Airlines Co.,1494,204,579,19,4066,6362
BWI,BNA,Southwest Airlines Co.,3301,582,1158,57,8765,13863
BWI,BUF,Southwest Airlines Co.,3008,1044,1425,46,9592,15115
BWI,CLE,Southwest Airlines Co.,2184,632,835,17,3274,6942
BWI,CLT,US Airways Inc.,3243,311,1857,7,2315,7733
BWI,CMH,Southwest Airlines Co.,2598,725,636,41,5566,9566
BWI,CVG,Atlantic Southeast Airlines,0,144,0,0,0,144
BWI,CVG,Delta Air Lines Inc.,192,0,56,0,0,248
BWI,DEN,Southwest Airlines Co.,3199,163,1180,40,3550,8132
BWI,DEN,United Air Lines Inc.,2448,298,1932,0,4541,9219
BWI,DFW,American Airlines Inc.,2197,266,2169,54,4394,9080
BWI,DTW,Southwest Airlines Co.,2052,691,1079,111,4862,8795
BWI,FLL,Southwest Airlines Co.,2105,130,1123,52,5365,8775
BWI,HOU,Southwest Airlines Co.,2223,379,1064,93,6723,10482
BWI,IND,Southwest Airlines Co.,1549,90,855,19,2430,4943
BWI,ISP,Southwest Airlines Co.,3237,950,838,123,5883,11031
BWI,JAN,Southwest Airlines Co.,1141,295,346,8,1693,3483
BWI,JAX,Southwest Airlines Co.,1459,26,601,30,4054,6170
BWI,JFK,American Eagle Airlines Inc.,277,164,1251,0,1735,3427
BWI,LAS,Southwest Airlines Co.,1881,407,1152,54,2003,5497
BWI,LAS,US Airways Inc.,741,276,604,0,2007,3628
BWI,LAX,United Air Lines Inc.,1943,60,1110,0,3359,6472
BWI,LIT,Southwest Airlines Co.,678,77,184,4,662,1605
BWI,MCI,Southwest Airlines Co.,1445,653,701,6,3085,5890
BWI,MCO,Southwest Airlines Co.,4048,372,2022,90,9474,16006
BWI,MCO,US Airways Inc.,111,0,82,0,0,193
BWI,MDW,Southwest Airlines Co.,3087,2217,2294,41,6960,14599
BWI,MHT,Southwest Airlines Co.,5495,798,1591,8,10749,18641
BWI,MIA,American Airlines Inc.,1342,56,520,8,936,2862
BWI,MKE,Skywest Airlines Inc.,3096,1520,1218,0,925,6759
BWI,MSY,Southwest Airlines Co.,493,163,404,13,1021,2094
BWI,OKC,Southwest Airlines Co.,802,417,120,15,2335,3689
BWI,ORD,American Eagle Airlines Inc.,2566,1769,5343,0,6978,16656
BWI,ORD,United Air Lines Inc.,3072,302,7730,0,7747,18851
BWI,ORF,Southwest Airlines Co.,3643,341,534,12,5170,9700
BWI,PBI,Southwest Airlines Co.,1937,151,618,83,4452,7241
BWI,PHL,US Airways Inc.,331,105,1071,0,1032,2539
BWI,PHX,Southwest Airlines Co.,1631,337,1720,31,2777,6496
BWI,PHX,US Airways Inc.,1358,388,413,7,650,2816
BWI,PIT,Southwest Airlines Co.,1090,449,484,0,3329,5352
BWI,PVD,Southwest Airlines Co.,4869,908,1891,44,12008,19720
BWI,RDU,Southwest Airlines Co.,3327,395,1046,78,8970,13816
BWI,RSW,Southwest Airlines Co.,974,42,597,7,2642,4262
BWI,SAN,Southwest Airlines Co.,1304,296,1194,15,1929,4738
BWI,SAT,Southwest Airlines Co.,950,206,528,9,1413,3106
BWI,SDF,Southwest Airlines Co.,2410,520,639,23,3883,7475
BWI,SFO,United Air Lines Inc.,449,72,469,0,341,1331
BWI,SJU,American Airlines Inc.,285,14,33,0,0,332
BWI,SLC,Delta Air Lines Inc.,223,28,157,0,433,841
BWI,SLC,Southwest Airlines Co.,337,0,293,32,206,868
BWI,STL,Southwest Airlines Co.,3315,803,1149,50,3808,9125
BWI,TPA,Southwest Airlines Co.,2192,237,1336,20,7592,11377
BZN,ATL,Delta Air Lines Inc.,208,0,24,0,48,280
BZN,DEN,Skywest Airlines Inc.,2507,726,453,0,3779,7465
BZN,DEN,United Air Lines Inc.,468,71,273,0,480,1292
BZN,ORD,Skywest Airlines Inc.,1089,0,5705,0,820,7614
BZN,ORD,United Air Lines Inc.,62,0,677,0,346,1085
BZN,SFO,Skywest Airlines Inc.,18,0,518,0,39,575
BZN,SLC,Skywest Airlines Inc.,1074,1389,285,0,3926,6674
CAE,ATL,Atlantic Southeast Airlines,5116,2035,3167,8,782,11108
CAE,ATL,Delta Air Lines Inc.,1530,0,1064,0,367,2961
CAE,CVG,Atlantic Southeast Airlines,1082,260,234,0,122,1698
CAE,DFW,American Eagle Airlines Inc.,2187,182,669,0,2970,6008
CAE,LGA,Atlantic Southeast Airlines,1185,232,6741,0,138,8296
CAK,ATL,Atlantic Southeast Airlines,7499,3742,3348,72,3160,17821
CAK,CVG,Atlantic Southeast Airlines,0,16,0,0,0,16
CAK,DEN,Frontier Airlines Inc.,1131,71,662,0,985,2849
CAK,ORD,Skywest Airlines Inc.,149,0,3420,0,1254,4823
CDC,LAX,Skywest Airlines Inc.,26,0,0,0,0,26
CDC,SLC,Skywest Airlines Inc.,574,29,20,0,1373,1996
CDV,ANC,Alaska Airlines Inc.,38,1,107,28,1932,2106
CDV,YAK,Alaska Airlines Inc.,510,34,57,0,1911,2512
CEC,ACV,Skywest Airlines Inc.,1862,64,571,0,2393,4890
CEC,SFO,Skywest Airlines Inc.,939,144,7879,0,1382,10344
CHA,ATL,Atlantic Southeast Airlines,6199,1230,3791,0,519,11739
CHA,DFW,American Eagle Airlines Inc.,1037,25,540,0,1405,3007
CHA,ORD,American Eagle Airlines Inc.,647,115,2847,0,2708,6317
CHO,ATL,Atlantic Southeast Airlines,1371,756,1997,0,379,4503
CHO,CVG,Atlantic Southeast Airlines,21,0,6,0,0,27
CHS,ATL,Atlantic Southeast Airlines,2609,627,1398,0,1889,6523
CHS,ATL,Delta Air Lines Inc.,4836,220,2586,0,2232,9874
CHS,CLT,US Airways Inc.,108,230,233,0,614,1185
CHS,DFW,American Eagle Airlines Inc.,3199,120,1735,0,3760,8814
CHS,ORD,Skywest Airlines Inc.,550,306,2458,0,647,3961
CIC,SFO,Skywest Airlines Inc.,1706,61,6909,55,5041,13772
CID,ATL,Atlantic Southeast Airlines,2151,651,551,0,303,3656
CID,CVG,Atlantic Southeast Airlines,0,44,9,0,0,53
CID,DEN,Skywest Airlines Inc.,1033,692,1026,0,4161,6912
CID,DFW,American Eagle Airlines Inc.,2671,1070,1532,0,4073,9346
CID,MKE,Skywest Airlines Inc.,0,0,107,0,0,107
CID,ORD,American Eagle Airlines Inc.,2250,2024,8331,0,6065,18670
CID,ORD,Skywest Airlines Inc.,551,37,8877,56,1438,10959
CLD,LAX,Skywest Airlines Inc.,1925,65,1993,0,2577,6560
CLE,ATL,Atlantic Southeast Airlines,5835,1836,3650,0,1480,12801
CLE,ATL,Delta Air Lines Inc.,1500,78,516,40,192,2326
CLE,ATL,Skywest Airlines Inc.,64,0,105,0,0,169
CLE,BNA,Southwest Airlines Co.,1127,793,506,0,2457,4883
CLE,BWI,Southwest Airlines Co.,916,923,1028,8,4814,7689
CLE,CLT,US Airways Inc.,674,235,315,0,378,1602
CLE,CVG,Atlantic Southeast Airlines,31,0,0,0,0,31
CLE,DEN,Skywest Airlines Inc.,161,230,0,0,1358,1749
CLE,DEN,United Air Lines Inc.,1401,94,142,0,134,1771
CLE,DFW,American Eagle Airlines Inc.,4875,771,1281,0,5027,11954
CLE,JFK,American Eagle Airlines Inc.,365,7,821,0,1267,2460
CLE,LAS,Southwest Airlines Co.,311,8,621,0,370,1310
CLE,LGA,American Eagle Airlines Inc.,2662,204,7013,0,7003,16882
CLE,MCO,Southwest Airlines Co.,783,28,333,0,687,1831
CLE,MDW,Southwest Airlines Co.,1509,2217,3011,20,6972,13729
CLE,MIA,American Eagle Airlines Inc.,85,17,79,0,414,595
CLE,MKE,Skywest Airlines Inc.,913,181,285,0,201,1580
CLE,ORD,American Eagle Airlines Inc.,3231,182,9795,0,7268,20476
CLE,ORD,Skywest Airlines Inc.,453,691,7231,0,1529,9904
CLE,ORD,United Air Lines Inc.,3344,165,8318,0,5129,16956
CLE,PHX,US Airways Inc.,1013,18,92,0,189,1312
CLE,SLC,Delta Air Lines Inc.,305,2,281,0,194,782
CLE,SLC,Skywest Airlines Inc.,124,0,22,0,732,878
CLE,STL,Southwest Airlines Co.,669,114,348,0,1491,2622
CLL,DFW,American Eagle Airlines Inc.,2342,966,1233,0,2780,7321
CLT,ABE,US Airways Inc.,270,123,144,43,531,1111
CLT,ALB,US Airways Inc.,895,141,411,39,1230,2716
CLT,ATL,Atlantic Southeast Airlines,1455,1074,2064,0,1229,5822
CLT,ATL,Delta Air Lines Inc.,4021,496,2428,0,3788,10733
CLT,ATL,US Airways Inc.,493,0,1829,59,1228,3609
CLT,BDL,US Airways Inc.,1455,102,861,22,3390,5830
CLT,BNA,US Airways Inc.,1447,84,439,15,2636,4621
CLT,BOS,JetBlue Airways,825,0,466,0,379,1670
CLT,BOS,US Airways Inc.,3672,229,6154,12,6685,16752
CLT,BUF,US Airways Inc.,1771,156,215,17,3112,5271
CLT,BWI,US Airways Inc.,2298,170,3030,81,5640,11219
CLT,CHS,US Airways Inc.,428,0,243,0,1205,1876
CLT,CLE,US Airways Inc.,911,11,160,0,1031,2113
CLT,CVG,Atlantic Southeast Airlines,205,41,0,0,0,246
CLT,DAB,US Airways Inc.,0,0,0,0,65,65
CLT,DCA,US Airways Inc.,2781,191,2331,6,4819,10128
CLT,DEN,US Airways Inc.,1751,61,1063,100,1978,4953
CLT,DEN,United Air Lines Inc.,1530,33,747,0,2626,4936
CLT,DFW,American Airlines Inc.,3773,390,1463,0,2888,8514
CLT,DFW,US Airways Inc.,2215,144,1565,11,3319,7254
CLT,DTW,US Airways Inc.,405,84,63,0,374,926
CLT,EGE,US Airways Inc.,26,0,0,0,41,67
CLT,EWR,US Airways Inc.,1298,250,21369,0,3995,26912
CLT,FLL,JetBlue Airways,181,0,225,0,641,1047
