Origin,Dest,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
SLC,BFL,Skywest Airlines Inc.,335,219,19,0,665,1238
SLC,BHM,Skywest Airlines Inc.,204,0,0,0,0,204
SLC,BIL,Skywest Airlines Inc.,2857,505,87,0,541,3990
SLC,BLI,Skywest Airlines Inc.,269,0,0,0,0,269
SLC,BNA,Skywest Airlines Inc.,639,130,7,19,144,939
SLC,BOI,Delta Air Lines Inc.,872,120,463,0,603,2058
SLC,BOI,Skywest Airlines Inc.,2296,646,53,51,880,3926
SLC,BOI,Southwest Airlines Co.,1123,241,547,0,5007,6918
SLC,BOS,Delta Air Lines Inc.,289,73,273,0,707,1342
SLC,BTM,Skywest Airlines Inc.,607,372,7,0,157,1143
SLC,BUR,JetBlue Airways,181,0,206,0,499,886
SLC,BUR,Skywest Airlines Inc.,3346,546,257,21,597,4767
SLC,BWI,Delta Air Lines Inc.,177,8,174,0,160,519
SLC,BWI,Southwest Airlines Co.,217,2,274,0,724,1217
SLC,BZN,Skywest Airlines Inc.,4330,1661,119,0,1826,7936
SLC,CDC,Skywest Airlines Inc.,1347,0,18,0,215,1580
SLC,CLE,Delta Air Lines Inc.,137,0,6,0,141,284
SLC,CLE,Skywest Airlines Inc.,188,178,2,64,234,666
SLC,CLT,Delta Air Lines Inc.,573,0,107,0,339,1019
SLC,CMH,Skywest Airlines Inc.,530,35,63,0,21,649
SLC,COD,Skywest Airlines Inc.,1224,309,27,0,307,1867
SLC,COS,Skywest Airlines Inc.,887,558,37,0,383,1865
SLC,CPR,Skywest Airlines Inc.,1076,371,0,0,295,1742
SLC,CVG,Delta Air Lines Inc.,2163,222,401,0,1478,4264
SLC,CVG,Skywest Airlines Inc.,300,0,86,0,0,386
SLC,DCA,Delta Air Lines Inc.,287,33,196,0,284,800
SLC,DEN,Delta Air Lines Inc.,724,0,383,0,719,1826
SLC,DEN,Frontier Airlines Inc.,2034,148,3526,0,3754,9462
SLC,DEN,Skywest Airlines Inc.,6548,1617,564,20,1682,10431
SLC,DEN,Southwest Airlines Co.,1557,218,630,0,5073,7478
SLC,DEN,United Air Lines Inc.,712,88,835,0,8525,10160
SLC,DFW,American Airlines Inc.,3579,107,1105,0,4705,9496
SLC,DFW,Delta Air Lines Inc.,881,218,656,0,502,2257
