Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Abilene Regional Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,8563,2464,2734,0,2080,15841
Abraham Lincoln Capital Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,352,212,4582,0,964,6110
Adak Airport - Ted Stevens Anchorage International Airport,Alaska Airlines Inc.,112,0,0,0,241,353
Akron-Canton Regional Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,149,0,3420,0,1254,4823
Akron-Canton Regional Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,16,0,0,0,16
Akron-Canton Regional Airport - Denver International Airport,Frontier Airlines Inc.,1131,71,662,0,985,2849
Akron-Canton Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,7499,3742,3348,72,3160,17821
Albany International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,1084,728,1555,19,7445,10831
Albany International Airport - Charlotte Douglas International Airport,US Airways Inc.,501,58,269,6,713,1547
Albany International Airport - Chicago Midway International Airport,Southwest Airlines Co.,375,624,791,0,900,2690
Albany International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,1221,184,3092,0,3552,8049
Albany International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,1364,512,2665,0,3704,8245
Albany International Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,15,0,0,0,15
Albany International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4164,1577,1958,11,1223,8933
Albany International Airport - McCarran International Airport,Southwest Airlines Co.,223,150,336,0,661,1370
Albany International Airport - Orlando International Airport,Southwest Airlines Co.,1161,180,1087,0,2246,4674
Albany International Airport - Philadelphia International Airport,US Airways Inc.,122,27,280,0,0,429
Albany International Airport - Ronald Reagan Washington National Airport,US Airways Inc.,152,0,34,0,0,186
Albany International Airport - Tampa International Airport,Southwest Airlines Co.,424,107,211,0,193,935
Albert J. Ellis Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3102,1461,1396,0,712,6671
Albuquerque International Sunport - Baltimore-Washington International Airport,Southwest Airlines Co.,193,166,678,0,158,1195
Albuquerque International Sunport - Chicago Midway International Airport,Southwest Airlines Co.,181,199,450,0,755,1585
Albuquerque International Sunport - Chicago O'Hare International Airport,American Airlines Inc.,1420,0,1826,0,389,3635
Albuquerque International Sunport - Chicago O'Hare International Airport,Skywest Airlines Inc.,62,0,1645,0,232,1939
Albuquerque International Sunport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,98,3,50,0,392,543
Albuquerque International Sunport - Dallas Love Field,Southwest Airlines Co.,2535,804,1073,0,7331,11743
Albuquerque International Sunport - Dallas/Fort Worth International Airport,American Airlines Inc.,4159,1086,1922,0,7297,14464
Albuquerque International Sunport - Denver International Airport,Frontier Airlines Inc.,705,13,503,0,602,1823
Albuquerque International Sunport - Denver International Airport,Skywest Airlines Inc.,337,106,183,0,1804,2430
Albuquerque International Sunport - Denver International Airport,Southwest Airlines Co.,337,0,126,0,1864,2327
Albuquerque International Sunport - Denver International Airport,United Air Lines Inc.,671,17,595,0,5182,6465
Albuquerque International Sunport - El Paso International Airport,Southwest Airlines Co.,788,0,190,0,3193,4171
Albuquerque International Sunport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,1282,237,540,0,759,2818
Albuquerque International Sunport - Kansas City International Airport,Southwest Airlines Co.,601,385,61,0,1653,2700
Albuquerque International Sunport - Los Angeles International Airport,Skywest Airlines Inc.,542,272,691,25,4538,6068
Albuquerque International Sunport - Los Angeles International Airport,Southwest Airlines Co.,1371,0,828,2,7012,9213
Albuquerque International Sunport - Lubbock Preston Smith International Airport,Southwest Airlines Co.,257,16,39,0,920,1232
Albuquerque International Sunport - McCarran International Airport,Southwest Airlines Co.,1902,192,2372,0,7804,12270
Albuquerque International Sunport - Midland International Airport,Southwest Airlines Co.,412,0,44,0,2235,2691
Albuquerque International Sunport - Oakland International Airport,Southwest Airlines Co.,1164,25,442,0,3648,5279
Albuquerque International Sunport - Orlando International Airport,Southwest Airlines Co.,454,0,154,0,571,1179
Albuquerque International Sunport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,2859,116,2732,0,13986,19693
Albuquerque International Sunport - Phoenix Sky Harbor International Airport,US Airways Inc.,1072,7,454,0,652,2185
Albuquerque International Sunport - Portland International Airport,Southwest Airlines Co.,525,33,429,0,2551,3538
Albuquerque International Sunport - Rick Husband Amarillo International Airport,Southwest Airlines Co.,473,199,39,0,1967,2678
Albuquerque International Sunport - Salt Lake City International Airport,Skywest Airlines Inc.,177,71,77,0,1518,1843
Albuquerque International Sunport - Salt Lake City International Airport,Southwest Airlines Co.,438,161,113,0,2911,3623
Albuquerque International Sunport - San Diego International Airport (Lindbergh Field),Southwest Airlines Co.,770,58,554,0,3440,4822
Albuquerque International Sunport - San Francisco International Airport,Skywest Airlines Inc.,474,30,1043,0,941,2488
Albuquerque International Sunport - Seattle-Tacoma International Airport,Southwest Airlines Co.,475,0,481,0,3769,4725
Albuquerque International Sunport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,57,0,6,0,199,262
Albuquerque International Sunport - Tampa International Airport,Southwest Airlines Co.,347,0,49,0,476,872
Albuquerque International Sunport - Tucson International Airport,Southwest Airlines Co.,693,0,255,0,4437,5385
Albuquerque International Sunport - Washington Dulles International Airport,United Air Lines Inc.,984,23,59,0,130,1196
Albuquerque International Sunport - William P. Hobby Airport,Southwest Airlines Co.,893,271,234,0,3642,5040
Alexandria International Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,2212,2344,848,0,2484,7888
Alexandria International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4165,1294,1803,21,272,7555
Appleton International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,421,1121,5498,0,4020,11060
Appleton International Airport - Des Moines International Airport,Skywest Airlines Inc.,0,210,0,0,0,210
Appleton International Airport - General Mitchell International Airport,Skywest Airlines Inc.,1959,656,247,0,426,3288
Appleton International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3652,438,1353,0,426,5869
Arcata Airport - Del Norte County Airport (Jack McNamara Field),Skywest Airlines Inc.,264,540,85,0,305,1194
Arcata Airport - Sacramento International Airport,Skywest Airlines Inc.,383,53,165,0,2264,2865
Arcata Airport - Salt Lake City International Airport,Skywest Airlines Inc.,178,0,52,0,50,280
Arcata Airport - San Francisco International Airport,Skywest Airlines Inc.,4198,319,19935,7,5581,30040
Asheville Regional Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,8,0,0,9,17
Asheville Regional Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,4330,2079,2286,23,326,9044
Asheville Regional Airport - Orlando International Airport,Atlantic Southeast Airlines,238,0,99,0,1,338
Aspen-Pitkin County Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,1415,1099,8408,77,1672,12671
Aspen-Pitkin County Airport - Denver International Airport,Skywest Airlines Inc.,3951,8264,1187,356,8874,22632
Aspen-Pitkin County Airport - Hartsfield-Jackson Atlanta International Airport,Skywest Airlines Inc.,0,0,85,0,0,85
Aspen-Pitkin County Airport - Los Angeles International Airport,Skywest Airlines Inc.,1005,667,180,90,1903,3845
Aspen-Pitkin County Airport - Salt Lake City International Airport,Skywest Airlines Inc.,1016,1813,478,188,2299,5794
Aspen-Pitkin County Airport - San Francisco International Airport,Skywest Airlines Inc.,270,0,857,0,426,1553
Atlantic City International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,1063,0,812,0,0,1875
Augusta Regional Airport (Bush Field) - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,5854,2917,4024,40,436,13271
Austin-Bergstrom International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,364,79,568,0,1316,2327
Austin-Bergstrom International Airport - Chicago Midway International Airport,Southwest Airlines Co.,865,298,318,0,1691,3172
Austin-Bergstrom International Airport - Chicago O'Hare International Airport,American Airlines Inc.,1767,94,9397,0,5591,16849
Austin-Bergstrom International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,398,0,5099,0,1133,6630
Austin-Bergstrom International Airport - Dallas Love Field,American Eagle Airlines Inc.,1424,780,1195,0,10000,13399
Austin-Bergstrom International Airport - Dallas Love Field,Southwest Airlines Co.,3283,1776,1863,17,10051,16990
Austin-Bergstrom International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,2737,2270,4496,14,11079,20596
Austin-Bergstrom International Airport - Denver International Airport,Frontier Airlines Inc.,929,0,770,0,933,2632
Austin-Bergstrom International Airport - Denver International Airport,Skywest Airlines Inc.,49,0,37,0,69,155
Austin-Bergstrom International Airport - Denver International Airport,Southwest Airlines Co.,552,34,281,0,2393,3260
Austin-Bergstrom International Airport - Denver International Airport,United Air Lines Inc.,1448,58,345,0,2247,4098
Austin-Bergstrom International Airport - Des Moines International Airport,Skywest Airlines Inc.,0,100,0,0,0,100
Austin-Bergstrom International Airport - El Paso International Airport,Southwest Airlines Co.,1650,18,212,0,3973,5853
Austin-Bergstrom International Airport - Fort Lauderdale-Hollywood International Airport,JetBlue Airways,141,0,4,0,0,145
Austin-Bergstrom International Airport - Fort Lauderdale-Hollywood International Airport,Southwest Airlines Co.,210,0,0,0,7,217
Austin-Bergstrom International Airport - Gen. Edward Lawrence Logan International Airport,JetBlue Airways,266,0,566,0,1124,1956
Austin-Bergstrom International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,1911,417,903,0,232,3463
Austin-Bergstrom International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,1455,225,1051,0,2020,4751
Austin-Bergstrom International Airport - John F. Kennedy International Airport (New York International Airport),JetBlue Airways,193,0,2399,0,1946,4538
Austin-Bergstrom International Airport - John Wayne Airport (Orange County Airport),American Airlines Inc.,893,0,114,0,0,1007
Austin-Bergstrom International Airport - Kansas City International Airport,Skywest Airlines Inc.,1835,194,87,0,747,2863
Austin-Bergstrom International Airport - Long Beach Airport (Daugherty Field),JetBlue Airways,42,0,70,0,95,207
Austin-Bergstrom International Airport - Los Angeles International Airport,American Airlines Inc.,1680,90,720,0,1861,4351
Austin-Bergstrom International Airport - Los Angeles International Airport,Skywest Airlines Inc.,231,0,20,0,615,866
Austin-Bergstrom International Airport - Los Angeles International Airport,Southwest Airlines Co.,569,32,388,0,948,1937
Austin-Bergstrom International Airport - Louis Armstrong New Orleans International Airport,Skywest Airlines Inc.,0,82,0,0,0,82
Austin-Bergstrom International Airport - Lubbock Preston Smith International Airport,Southwest Airlines Co.,464,261,121,0,2249,3095
Austin-Bergstrom International Airport - McCarran International Airport,Southwest Airlines Co.,571,66,563,0,3485,4685
Austin-Bergstrom International Airport - Midland International Airport,Southwest Airlines Co.,276,74,102,0,1969,2421
Austin-Bergstrom International Airport - Nashville International Airport,Southwest Airlines Co.,359,31,82,0,2487,2959
Austin-Bergstrom International Airport - Norman Y. Mineta San José International Airport,American Airlines Inc.,1371,285,457,7,1688,3808
Austin-Bergstrom International Airport - Oakland International Airport,Southwest Airlines Co.,298,12,227,0,528,1065
Austin-Bergstrom International Airport - Orlando International Airport,JetBlue Airways,27,0,42,0,407,476
Austin-Bergstrom International Airport - Orlando International Airport,Southwest Airlines Co.,32,95,59,0,359,545
Austin-Bergstrom International Airport - Philadelphia International Airport,Southwest Airlines Co.,152,165,552,0,59,928
Austin-Bergstrom International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,919,78,546,0,4921,6464
Austin-Bergstrom International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,498,5,176,0,254,933
Austin-Bergstrom International Airport - Raleigh-Durham International Airport,American Airlines Inc.,403,8,63,0,714,1188
Austin-Bergstrom International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,529,17,448,0,329,1323
Austin-Bergstrom International Airport - San Diego International Airport (Lindbergh Field),Southwest Airlines Co.,619,5,387,0,1827,2838
Austin-Bergstrom International Airport - San Francisco International Airport,JetBlue Airways,9,0,68,0,126,203
Austin-Bergstrom International Airport - San Francisco International Airport,United Air Lines Inc.,720,0,207,0,96,1023
Austin-Bergstrom International Airport - Seattle-Tacoma International Airport,American Airlines Inc.,277,0,93,0,0,370
Austin-Bergstrom International Airport - St. Louis International Airport at Lambert Field,American Airlines Inc.,230,21,78,0,896,1225
Austin-Bergstrom International Airport - Tampa International Airport,Southwest Airlines Co.,240,0,64,0,570,874
Austin-Bergstrom International Airport - Valley International Airport,Southwest Airlines Co.,265,0,78,0,1142,1485
Austin-Bergstrom International Airport - William P. Hobby Airport,Southwest Airlines Co.,1721,974,2428,9,7031,12163
Baltimore-Washington International Airport - Albany International Airport,Southwest Airlines Co.,3331,1066,786,44,6209,11436
Baltimore-Washington International Airport - Albuquerque International Sunport,Southwest Airlines Co.,880,345,547,0,600,2372
Baltimore-Washington International Airport - Austin-Bergstrom International Airport,Southwest Airlines Co.,853,235,380,6,1970,3444
Baltimore-Washington International Airport - Bill and Hillary Clinton National Airport (Adams Field),Southwest Airlines Co.,678,77,184,4,662,1605
Baltimore-Washington International Airport - Birmingham-Shuttlesworth International Airport,Southwest Airlines Co.,1494,204,579,19,4066,6362
Baltimore-Washington International Airport - Bradley International Airport,Southwest Airlines Co.,4025,825,1752,151,8613,15366
Baltimore-Washington International Airport - Buffalo Niagara International Airport,Southwest Airlines Co.,3008,1044,1425,46,9592,15115
Baltimore-Washington International Airport - Charlotte Douglas International Airport,US Airways Inc.,3243,311,1857,7,2315,7733
Baltimore-Washington International Airport - Chicago Midway International Airport,Southwest Airlines Co.,3087,2217,2294,41,6960,14599
Baltimore-Washington International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,2566,1769,5343,0,6978,16656
Baltimore-Washington International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,3072,302,7730,0,7747,18851
Baltimore-Washington International Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,144,0,0,0,144
Baltimore-Washington International Airport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,192,0,56,0,0,248
Baltimore-Washington International Airport - Cleveland Hopkins International Airport,Southwest Airlines Co.,2184,632,835,17,3274,6942
Baltimore-Washington International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,2197,266,2169,54,4394,9080
Baltimore-Washington International Airport - Denver International Airport,Southwest Airlines Co.,3199,163,1180,40,3550,8132
Baltimore-Washington International Airport - Denver International Airport,United Air Lines Inc.,2448,298,1932,0,4541,9219
Baltimore-Washington International Airport - Detroit Metropolitan Airport,Southwest Airlines Co.,2052,691,1079,111,4862,8795
Baltimore-Washington International Airport - Fort Lauderdale-Hollywood International Airport,Southwest Airlines Co.,2105,130,1123,52,5365,8775
Baltimore-Washington International Airport - General Mitchell International Airport,Skywest Airlines Inc.,3096,1520,1218,0,925,6759
Baltimore-Washington International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,3345,21,3151,0,4181,10698
Baltimore-Washington International Airport - Indianapolis International Airport,Southwest Airlines Co.,1549,90,855,19,2430,4943
Baltimore-Washington International Airport - Jackson-Evers International Airport,Southwest Airlines Co.,1141,295,346,8,1693,3483
Baltimore-Washington International Airport - Jacksonville International Airport,Southwest Airlines Co.,1459,26,601,30,4054,6170
Baltimore-Washington International Airport - John F. Kennedy International Airport (New York International Airport),American Eagle Airlines Inc.,277,164,1251,0,1735,3427
Baltimore-Washington International Airport - Kansas City International Airport,Southwest Airlines Co.,1445,653,701,6,3085,5890
Baltimore-Washington International Airport - Long Island MacArthur Airport,Southwest Airlines Co.,3237,950,838,123,5883,11031
Baltimore-Washington International Airport - Los Angeles International Airport,United Air Lines Inc.,1943,60,1110,0,3359,6472
Baltimore-Washington International Airport - Louis Armstrong New Orleans International Airport,Southwest Airlines Co.,493,163,404,13,1021,2094
Baltimore-Washington International Airport - Louisville International Airport (Standiford Field),Southwest Airlines Co.,2410,520,639,23,3883,7475
Baltimore-Washington International Airport - Luis Muñoz Marín International Airport,American Airlines Inc.,285,14,33,0,0,332
Baltimore-Washington International Airport - Manchester-Boston Regional Airport,Southwest Airlines Co.,5495,798,1591,8,10749,18641
Baltimore-Washington International Airport - McCarran International Airport,Southwest Airlines Co.,1881,407,1152,54,2003,5497
Baltimore-Washington International Airport - McCarran International Airport,US Airways Inc.,741,276,604,0,2007,3628
Baltimore-Washington International Airport - Miami International Airport,American Airlines Inc.,1342,56,520,8,936,2862
Baltimore-Washington International Airport - Nashville International Airport,Southwest Airlines Co.,3301,582,1158,57,8765,13863
Baltimore-Washington International Airport - Norfolk International Airport,Southwest Airlines Co.,3643,341,534,12,5170,9700
Baltimore-Washington International Airport - Orlando International Airport,Southwest Airlines Co.,4048,372,2022,90,9474,16006
Baltimore-Washington International Airport - Orlando International Airport,US Airways Inc.,111,0,82,0,0,193
Baltimore-Washington International Airport - Palm Beach International Airport,Southwest Airlines Co.,1937,151,618,83,4452,7241
Baltimore-Washington International Airport - Philadelphia International Airport,US Airways Inc.,331,105,1071,0,1032,2539
Baltimore-Washington International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,1631,337,1720,31,2777,6496
Baltimore-Washington International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,1358,388,413,7,650,2816
Baltimore-Washington International Airport - Pittsburgh International Airport,Southwest Airlines Co.,1090,449,484,0,3329,5352
Baltimore-Washington International Airport - Port Columbus International Airport,Southwest Airlines Co.,2598,725,636,41,5566,9566
Baltimore-Washington International Airport - Raleigh-Durham International Airport,Southwest Airlines Co.,3327,395,1046,78,8970,13816
Baltimore-Washington International Airport - Salt Lake City International Airport,Delta Air Lines Inc.,223,28,157,0,433,841
Baltimore-Washington International Airport - Salt Lake City International Airport,Southwest Airlines Co.,337,0,293,32,206,868
Baltimore-Washington International Airport - San Antonio International Airport,Southwest Airlines Co.,950,206,528,9,1413,3106
Baltimore-Washington International Airport - San Diego International Airport (Lindbergh Field),Southwest Airlines Co.,1304,296,1194,15,1929,4738
Baltimore-Washington International Airport - San Francisco International Airport,United Air Lines Inc.,449,72,469,0,341,1331
Baltimore-Washington International Airport - Southwest Florida International Airport,Southwest Airlines Co.,974,42,597,7,2642,4262
Baltimore-Washington International Airport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,3315,803,1149,50,3808,9125
Baltimore-Washington International Airport - Tampa International Airport,Southwest Airlines Co.,2192,237,1336,20,7592,11377
Baltimore-Washington International Airport - Theodore Francis Green State Airport,Southwest Airlines Co.,4869,908,1891,44,12008,19720
Baltimore-Washington International Airport - Will Rogers World Airport,Southwest Airlines Co.,802,417,120,15,2335,3689
Baltimore-Washington International Airport - William P. Hobby Airport,Southwest Airlines Co.,2223,379,1064,93,6723,10482
Bangor International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,2375,346,502,16,344,3583
Baton Rouge Metropolitan Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,568,575,1949,0,2299,5391
Baton Rouge Metropolitan Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,1646,4222,3906,0,12791,22565
Baton Rouge Metropolitan Airport - Denver International Airport,Frontier Airlines Inc.,16,0,1,0,0,17
Baton Rouge Metropolitan Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,12046,2309,4866,0,911,20132
Bellingham International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,0,139,0,0,0,139
Bert Mooney Airport - Salt Lake City International Airport,Skywest Airlines Inc.,41,434,0,0,401,876
Bethel Airport - Ted Stevens Anchorage International Airport,Alaska Airlines Inc.,625,196,152,91,2783,3847
Bill and Hillary Clinton National Airport (Adams Field) - Baltimore-Washington International Airport,Southwest Airlines Co.,162,79,475,0,2680,3396
Bill and Hillary Clinton National Airport (Adams Field) - Chicago Midway International Airport,Southwest Airlines Co.,329,192,96,0,709,1326
Bill and Hillary Clinton National Airport (Adams Field) - Chicago O'Hare International Airport,American Eagle Airlines Inc.,2769,472,5917,0,6598,15756
Bill and Hillary Clinton National Airport (Adams Field) - Chicago O'Hare International Airport,Skywest Airlines Inc.,0,57,0,0,0,57
Bill and Hillary Clinton National Airport (Adams Field) - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,0,39,1,0,0,40
Bill and Hillary Clinton National Airport (Adams Field) - Dallas Love Field,Southwest Airlines Co.,1714,1414,1184,0,11672,15984
Bill and Hillary Clinton National Airport (Adams Field) - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,6472,1812,2905,20,15625,26834
Bill and Hillary Clinton National Airport (Adams Field) - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,9800,3137,3027,0,807,16771
Bill and Hillary Clinton National Airport (Adams Field) - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,1974,255,330,0,488,3047
Bill and Hillary Clinton National Airport (Adams Field) - McCarran International Airport,Southwest Airlines Co.,99,12,374,0,1176,1661
Bill and Hillary Clinton National Airport (Adams Field) - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,244,16,68,0,0,328
Bill and Hillary Clinton National Airport (Adams Field) - Salt Lake City International Airport,Skywest Airlines Inc.,0,190,176,0,89,455
Bill and Hillary Clinton National Airport (Adams Field) - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,524,39,214,0,2215,2992
Bill and Hillary Clinton National Airport (Adams Field) - William P. Hobby Airport,Southwest Airlines Co.,232,246,250,0,357,1085
Billings Logan International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,41,0,1119,0,58,1218
Billings Logan International Airport - Denver International Airport,Skywest Airlines Inc.,222,46,128,0,574,970
Billings Logan International Airport - Denver International Airport,United Air Lines Inc.,1077,0,387,0,3166,4630
Billings Logan International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,922,374,304,15,1838,3453
Birmingham-Shuttlesworth International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,730,1240,584,0,3155,5709
Birmingham-Shuttlesworth International Airport - Chicago Midway International Airport,Southwest Airlines Co.,643,341,322,0,943,2249
Birmingham-Shuttlesworth International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,2074,120,3712,10,4243,10159
Birmingham-Shuttlesworth International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,1710,0,8343,0,503,10556
Birmingham-Shuttlesworth International Airport - Dallas Love Field,Southwest Airlines Co.,479,11,353,0,3177,4020
Birmingham-Shuttlesworth International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,1609,6,1032,0,4578,7225
Birmingham-Shuttlesworth International Airport - Denver International Airport,Skywest Airlines Inc.,1347,182,1045,21,2335,4930
Birmingham-Shuttlesworth International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,1287,1731,1177,0,328,4523
Birmingham-Shuttlesworth International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,2473,0,1603,0,1616,5692
Birmingham-Shuttlesworth International Airport - Jacksonville International Airport,Southwest Airlines Co.,119,116,67,0,729,1031
Birmingham-Shuttlesworth International Airport - Louis Armstrong New Orleans International Airport,Southwest Airlines Co.,671,29,291,0,5092,6083
Birmingham-Shuttlesworth International Airport - Louisville International Airport (Standiford Field),Southwest Airlines Co.,295,205,96,0,2712,3308
Birmingham-Shuttlesworth International Airport - McCarran International Airport,Southwest Airlines Co.,105,103,352,0,622,1182
Birmingham-Shuttlesworth International Airport - Nashville International Airport,Southwest Airlines Co.,210,63,280,0,1921,2474
Birmingham-Shuttlesworth International Airport - Orlando International Airport,Southwest Airlines Co.,238,16,221,0,2476,2951
Birmingham-Shuttlesworth International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,103,0,123,0,735,961
Birmingham-Shuttlesworth International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,0,0,36,0,301,337
Birmingham-Shuttlesworth International Airport - St. Louis International Airport at Lambert Field,Southwest Airlines Co.,57,29,47,0,172,305
Birmingham-Shuttlesworth International Airport - Tampa International Airport,Southwest Airlines Co.,1118,118,336,0,5466,7038
Birmingham-Shuttlesworth International Airport - William P. Hobby Airport,Southwest Airlines Co.,1179,92,450,0,3481,5202
Bishop International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,754,143,7324,0,6023,14244
Bishop International Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,1219,252,364,0,0,1835
Bishop International Airport - General Mitchell International Airport,Skywest Airlines Inc.,1094,360,350,50,602,2456
Bishop International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,6884,1952,2881,8,386,12111
Bishop International Airport - LaGuardia Airport (Marine Air Terminal),American Eagle Airlines Inc.,513,144,393,0,0,1050
Bismarck Municipal Airport - Denver International Airport,Skywest Airlines Inc.,790,432,450,0,2434,4106
Blue Grass Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,709,112,2106,0,2250,5177
Blue Grass Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,613,224,14953,0,1211,17001
Blue Grass Airport - Cincinnati/Northern Kentucky International Airport,Atlantic Southeast Airlines,43,20,0,0,0,63
Blue Grass Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,1761,67,730,0,3186,5744
Blue Grass Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,3324,1584,1480,0,649,7037
Blue Grass Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,573,166,469,0,0,1208
Bob Hope Airport (Hollywood Burbank Airport) - Dallas/Fort Worth International Airport,American Airlines Inc.,2371,240,651,0,3631,6893
Bob Hope Airport (Hollywood Burbank Airport) - Denver International Airport,Skywest Airlines Inc.,953,106,69,0,713,1841
Bob Hope Airport (Hollywood Burbank Airport) - Denver International Airport,United Air Lines Inc.,515,0,90,0,0,605
Bob Hope Airport (Hollywood Burbank Airport) - John F. Kennedy International Airport (New York International Airport),JetBlue Airways,893,0,2231,0,2110,5234
Bob Hope Airport (Hollywood Burbank Airport) - McCarran International Airport,JetBlue Airways,0,0,53,0,30,83
Bob Hope Airport (Hollywood Burbank Airport) - McCarran International Airport,Southwest Airlines Co.,2278,779,3657,0,10330,17044
Bob Hope Airport (Hollywood Burbank Airport) - Norman Y. Mineta San José International Airport,Southwest Airlines Co.,1508,269,778,4,9674,12233
Bob Hope Airport (Hollywood Burbank Airport) - Oakland International Airport,Southwest Airlines Co.,2149,299,1308,13,14870,18639
Bob Hope Airport (Hollywood Burbank Airport) - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,1587,235,1139,14,7043,10018
Bob Hope Airport (Hollywood Burbank Airport) - Phoenix Sky Harbor International Airport,US Airways Inc.,570,15,143,22,743,1493
Bob Hope Airport (Hollywood Burbank Airport) - Portland International Airport,Alaska Airlines Inc.,364,0,2,0,45,411
Bob Hope Airport (Hollywood Burbank Airport) - Sacramento International Airport,Southwest Airlines Co.,1583,188,595,0,10756,13122
Bob Hope Airport (Hollywood Burbank Airport) - Salt Lake City International Airport,JetBlue Airways,255,0,96,0,569,920
Bob Hope Airport (Hollywood Burbank Airport) - Salt Lake City International Airport,Skywest Airlines Inc.,2641,150,151,15,2571,5528
Bob Hope Airport (Hollywood Burbank Airport) - San Francisco International Airport,Skywest Airlines Inc.,1449,33,7601,0,4703,13786
Bob Hope Airport (Hollywood Burbank Airport) - San Francisco International Airport,United Air Lines Inc.,751,0,6534,0,1351,8636
Bob Hope Airport (Hollywood Burbank Airport) - Seattle-Tacoma International Airport,Alaska Airlines Inc.,1567,61,507,0,2249,4384
