Route,Airline,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,TotalDelays
Pittsburgh International Airport - McCarran International Airport,US Airways Inc.,777,0,327,0,653,1757
Pittsburgh International Airport - Miami International Airport,American Eagle Airlines Inc.,428,506,162,0,0,1096
Pittsburgh International Airport - Miami International Airport,US Airways Inc.,12,0,24,0,50,86
Pittsburgh International Airport - Orlando International Airport,Southwest Airlines Co.,730,23,899,0,3412,5064
Pittsburgh International Airport - Orlando International Airport,US Airways Inc.,803,22,260,0,568,1653
Pittsburgh International Airport - Philadelphia International Airport,Southwest Airlines Co.,1257,2392,5533,30,11024,20236
Pittsburgh International Airport - Philadelphia International Airport,US Airways Inc.,1735,440,5161,0,2455,9791
Pittsburgh International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,299,37,173,10,955,1474
Pittsburgh International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,791,178,276,0,657,1902
Pittsburgh International Airport - Salt Lake City International Airport,Delta Air Lines Inc.,614,52,719,0,961,2346
Pittsburgh International Airport - Salt Lake City International Airport,Skywest Airlines Inc.,50,18,60,0,486,614
Pittsburgh International Airport - San Francisco International Airport,US Airways Inc.,131,146,1340,45,542,2204
Pittsburgh International Airport - Southwest Florida International Airport,US Airways Inc.,177,0,0,0,0,177
Pittsburgh International Airport - Tampa International Airport,Southwest Airlines Co.,445,143,254,7,1374,2223
Pittsburgh International Airport - Tampa International Airport,US Airways Inc.,982,0,175,0,448,1605
Pocatello Regional Airport - Salt Lake City International Airport,Skywest Airlines Inc.,805,682,242,0,1838,3567
Port Columbus International Airport - Baltimore-Washington International Airport,Southwest Airlines Co.,955,392,1628,0,3500,6475
Port Columbus International Airport - Chicago Midway International Airport,Southwest Airlines Co.,2343,1413,3323,0,9455,16534
Port Columbus International Airport - Chicago O'Hare International Airport,American Eagle Airlines Inc.,7155,1084,13423,0,14291,35953
Port Columbus International Airport - Chicago O'Hare International Airport,Skywest Airlines Inc.,116,0,713,0,0,829
Port Columbus International Airport - Chicago O'Hare International Airport,United Air Lines Inc.,1310,167,7564,0,5798,14839
Port Columbus International Airport - Cincinnati/Northern Kentucky International Airport,Delta Air Lines Inc.,652,36,296,0,0,984
Port Columbus International Airport - Dallas/Fort Worth International Airport,American Airlines Inc.,406,218,633,0,3347,4604
Port Columbus International Airport - Dallas/Fort Worth International Airport,American Eagle Airlines Inc.,1482,105,414,0,714,2715
Port Columbus International Airport - Denver International Airport,United Air Lines Inc.,497,43,288,0,1213,2041
Port Columbus International Airport - Gen. Edward Lawrence Logan International Airport,American Eagle Airlines Inc.,1364,63,613,0,852,2892
Port Columbus International Airport - Gen. Edward Lawrence Logan International Airport,JetBlue Airways,7,0,5,0,26,38
Port Columbus International Airport - General Mitchell International Airport,Skywest Airlines Inc.,3336,1449,1087,12,470,6354
Port Columbus International Airport - Hartsfield-Jackson Atlanta International Airport,Atlantic Southeast Airlines,620,203,42,0,234,1099
Port Columbus International Airport - Hartsfield-Jackson Atlanta International Airport,Delta Air Lines Inc.,1270,254,778,0,444,2746
Port Columbus International Airport - Hartsfield-Jackson Atlanta International Airport,Skywest Airlines Inc.,256,234,449,0,538,1477
Port Columbus International Airport - John F. Kennedy International Airport (New York International Airport),JetBlue Airways,8,0,37,0,69,114
Port Columbus International Airport - Kansas City International Airport,Skywest Airlines Inc.,1948,436,0,0,32,2416
Port Columbus International Airport - LaGuardia Airport (Marine Air Terminal),American Eagle Airlines Inc.,5365,1087,6687,0,5351,18490
Port Columbus International Airport - Los Angeles International Airport,Delta Air Lines Inc.,157,4,36,0,89,286
Port Columbus International Airport - McCarran International Airport,Southwest Airlines Co.,798,161,780,6,2295,4040
Port Columbus International Airport - McCarran International Airport,US Airways Inc.,487,255,291,0,674,1707
Port Columbus International Airport - Miami International Airport,American Eagle Airlines Inc.,2411,301,257,0,0,2969
Port Columbus International Airport - Nashville International Airport,Southwest Airlines Co.,639,206,260,0,1995,3100
Port Columbus International Airport - Orlando International Airport,Southwest Airlines Co.,1592,320,628,0,3005,5545
Port Columbus International Airport - Philadelphia International Airport,Southwest Airlines Co.,696,974,2499,0,2534,6703
Port Columbus International Airport - Phoenix Sky Harbor International Airport,Southwest Airlines Co.,667,0,998,0,1019,2684
Port Columbus International Airport - Phoenix Sky Harbor International Airport,US Airways Inc.,965,323,232,0,232,1752
Port Columbus International Airport - Raleigh-Durham International Airport,American Eagle Airlines Inc.,2030,0,358,0,0,2388
